id,date,stagnant,Caline1.5,caline3
FS008,2012-9-29,52,0.1096,0.1345
FS008,2012-10-13,38,0.1051,0.133
FS008,2012-10-27,46,0.1166,0.1549
FS008,2012-11-10,35,0.0964,0.1314
FS008,2012-11-24,22,0.1104,0.1379
FS008,2012-12-8,40,0.0824,0.1081
FS009,2012-8-18,52,0.1822,0.222
FS009,2012-9-1,42,0.0589,0.1182
FS009,2012-9-15,113,0.2046,0.2713
FS009,2012-9-29,52,0.1059,0.1603
FS009,2012-10-13,38,0.2046,0.2425
FS009,2012-10-27,46,0.1499,0.2126
FS009,2012-11-10,35,0.1512,0.2018
FS009,2012-11-24,22,0.1547,0.1996
FS009,2012-12-8,40,0.1639,0.2011
FS010,2012-8-18,52,0.142,0.1918
FS010,2012-9-1,42,0.2441,0.3156
FS010,2012-9-15,113,0.2766,0.361
FS010,2012-9-29,52,0.194,0.2471
FS010,2012-10-13,38,0.1109,0.1921
FS010,2012-10-27,46,0.1763,0.2647
FS010,2012-11-10,35,0.1204,0.2074
FS010,2012-11-24,22,0.1403,0.2219
FS010,2012-12-8,40,0.0905,0.1561
FS011,2012-8-18,52,0.2611,0.2984
FS011,2012-9-1,42,0.1021,0.1594
FS011,2012-9-15,113,0.3128,0.3802
FS011,2012-9-29,52,0.1612,0.2136
FS011,2012-10-13,38,0.272,0.3089
FS011,2012-10-27,46,0.2048,0.2643
FS011,2012-11-10,35,0.2069,0.2606
FS011,2012-11-24,22,0.2081,0.2506
FS011,2012-12-8,40,0.2211,0.2577
FS012,2012-8-18,52,0.1003,0.1406
FS012,2012-9-1,42,0.1188,0.1759
FS012,2012-9-15,113,0.1574,0.2239
FS012,2012-9-29,52,0.1135,0.1542
FS012,2012-10-13,38,0.0817,0.1461
FS012,2012-10-27,46,0.1024,0.1795
FS012,2012-11-10,35,0.0703,0.139
FS012,2012-11-24,22,0.0777,0.1517
FS012,2012-12-8,40,0.0661,0.1206
FS013,2012-8-18,52,0.23,0.2861
FS013,2012-9-1,42,0.16,0.2385
FS013,2012-9-15,113,0.3052,0.4017
FS013,2012-9-29,52,0.1717,0.2421
FS013,2012-10-13,38,0.2295,0.2894
FS013,2012-10-27,46,0.1738,0.2657
FS013,2012-11-10,35,0.1541,0.2269
FS013,2012-11-24,22,0.203,0.2659
FS013,2012-12-8,40,0.1783,0.228
FS014,2012-8-18,52,0.2215,0.2712
FS014,2012-9-1,42,0.5318,0.5924
FS014,2012-9-15,113,0.4651,0.5488
FS014,2012-9-29,52,0.3805,0.4315
FS014,2012-10-13,38,0.2248,0.2929
FS014,2012-10-27,46,0.4122,0.4759
FS014,2012-11-10,35,0.3115,0.4039
FS014,2012-11-24,22,0.3134,0.3814
FS014,2012-12-8,40,0.1921,0.2524
FS015,2012-8-18,52,0.1058,0.1475
FS015,2012-9-1,42,0.1489,0.2095
FS015,2012-9-15,113,0.1836,0.2539
FS015,2012-9-29,52,0.133,0.1768
FS015,2012-10-13,38,0.0814,0.1518
FS015,2012-10-27,46,0.1129,0.1967
FS015,2012-11-10,35,0.0764,0.1504
FS015,2012-11-24,22,0.0877,0.1642
FS015,2012-12-8,40,0.0653,0.1235
FS016,2012-8-18,52,0.2214,0.2678
FS016,2012-9-1,42,0.3853,0.4622
FS016,2012-9-15,113,0.3647,0.4543
FS016,2012-9-29,52,0.2857,0.3427
FS016,2012-10-13,38,0.297,0.3673
FS016,2012-10-27,46,0.4629,0.5391
FS016,2012-11-10,35,0.3629,0.4534
